PLAN_ID,CREDITOS,MEDIA,CURSO_INICIO,NOTA_PAU_FISICA,NOTA_PAU_MATEMATICAS II,NOTA_PAU_CALIFICACION,PLAN_DESC,NOTA_FUNDAMENTOS DE PROGRAMACIÓN,NOTA_ONDAS ELECTROMAGNÉTICAS,NOTA_SISTEMAS Y CIRCUITOS,NOTA_TEORÍA DE LA COMUNICACIÓN,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_FUNDAMENTOS DE PROGRAMACIÓN,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_ONDAS ELECTROMAGNÉTICAS,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_SISTEMAS Y CIRCUITOS,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_TEORÍA DE LA COMUNICACIÓN,MATRICS_TOTALES_FUNDAMENTOS DE PROGRAMACIÓN,MATRICS_TOTALES_ONDAS ELECTROMAGNÉTICAS,MATRICS_TOTALES_SISTEMAS Y CIRCUITOS,MATRICS_TOTALES_TEORÍA DE LA COMUNICACIÓN,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_FUNDAMENTOS DE PROGRAMACIÓN,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_ONDAS ELECTROMAGNÉTICAS,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_SISTEMAS Y CIRCUITOS,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_TEORÍA DE LA COMUNICACIÓN,CONVOCS_TOTALES_FUNDAMENTOS DE PROGRAMACIÓN,CONVOCS_TOTALES_ONDAS ELECTROMAGNÉTICAS,CONVOCS_TOTALES_SISTEMAS Y CIRCUITOS,CONVOCS_TOTALES_TEORÍA DE LA COMUNICACIÓN
5041,192.0,7.2046874999999995,2010-11,5.4,10.0,7.32,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.0,7.4,5.9,,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,1.0,1.0,,3.0,1.0,1.0
5041,120.0,6.25625,2010-11,7.7,5.25,7.38,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.5,5.0,5.2,,2.0,1.0,1.0,,4.0,2.0,3.0,,4.0,1.0,2.0,,11.0,4.0,7.0
5041,198.0,7.488636363636363,2010-11,3.2,5.4,7.01,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.9,7.4,7.7,,1.0,1.0,2.0,,2.0,1.0,2.0,,3.0,1.0,4.0,,4.0,1.0,4.0
5041,186.0,6.999193548387097,2010-11,7.3,7.65,7.96,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,6.6,6.0,7.8,,3.0,1.0,2.0,,3.0,1.0,3.0,,7.0,1.0,5.0,,7.0,1.0,6.0
5041,180.0,6.744166666666667,2010-11,3.0,7.75,7.51,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.6,5.0,6.1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,1.0,2.0,3.0,6.0,1.0,2.0
5041,210.0,6.968571428571428,2010-11,4.7,7.5,6.73,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.8,8.5,7.2,,2.0,1.0,1.0,,2.0,1.0,1.0,,6.0,1.0,2.0,,6.0,1.0,2.0
5041,198.0,6.781060606060606,2010-11,5.2,9.5,7.78,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.8,6.4,7.1,,1.0,1.0,2.0,,1.0,1.0,2.0,,1.0,1.0,4.0,,1.0,1.0,4.0
5041,186.0,6.6645161290322585,2010-11,1.9,6.0,7.29,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,5.1,6.7,7.0,,2.0,1.0,1.0,,3.0,2.0,2.0,,6.0,2.0,2.0,,8.0,3.0,4.0
5041,140.0,6.991428571428571,2010-11,1.3,8.0,7.04,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.4,7.0,7.6,5.3,4.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,10.0,6.0,1.0,2.0,10.0,8.0,6.0,2.0
5041,210.0,6.9157142857142855,2011-12,,5.0,7.62,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.0,6.1,5.4,7.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,5.0,3.0,2.0
5041,221.0,6.839819004524887,2011-12,5.2,1.75,5.95,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.1,6.3,5.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0
5041,180.0,7.0586111111111105,2011-12,,6.75,7.92,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.0,5.5,5.0,5.9,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,7.0,5.0,3.0,4.0
5041,139.5,6.094623655913978,2011-12,5.4,5.0,6.52,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.5,,5.4,6.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0
5041,243.0,9.55925925925926,2011-12,9.8,7.5,8.71,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),10.0,10.0,9.0,9.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,234.0,8.719871794871795,2011-12,9.0,5.1,9.28,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.5,6.4,8.3,9.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,204.0,7.358088235294117,2011-12,7.8,8.75,8.89,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.6,5.6,6.3,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0
5041,198.0,7.087878787878789,2011-12,9.3,5.5,8.19,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.2,5.8,7.2,7.2,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,2.0
5041,204.0,7.115441176470588,2011-12,7.2,7.25,8.16,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.3,5.6,6.2,6.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0
5041,204.0,6.694117647058823,2011-12,4.6,5.25,7.8,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.9,6.0,6.1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0
5041,192.0,6.99140625,2011-12,6.4,9.5,7.96,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.5,6.2,7.8,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0
5041,222.0,6.816891891891891,2011-12,5.9,8.75,7.01,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.7,6.0,6.6,6.2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0
5041,222.0,7.34054054054054,2011-12,10.0,5.3,8.61,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.3,7.7,7.4,6.2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0
5041,199.5,7.029323308270676,2011-12,7.5,3.5,8.65,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.8,6.0,6.4,7.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,3.0,1.0
5041,169.5,6.639823008849558,2011-12,5.8,2.25,6.66,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.9,6.2,5.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0
5041,168.0,6.585714285714286,2011-12,2.4,2.5,5.54,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.7,5.8,5.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,11.0,5.0,5.0,3.0
5041,120.0,6.31875,2011-12,5.6,4.0,6.09,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.9,5.8,5.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,12.0,7.0,8.0,6.0
5041,132.0,6.711363636363637,2011-12,4.1,5.25,5.77,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.4,5.3,,,1.0,1.0,,,2.0,3.0,,,3.0,2.0,,,4.0,8.0,,
5041,205.5,7.97956204379562,2011-12,,2.8,6.18,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.3,,8.1,7.0,2.0,,2.0,1.0,2.0,,2.0,1.0,4.0,,4.0,1.0,4.0,,4.0,1.0
5041,210.0,7.1414285714285715,2011-12,7.7,9.0,8.17,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.1,5.8,9.0,6.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0
5041,157.5,6.423809523809524,2011-12,0.0,6.2,5.22,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),7.9,5.2,5.4,5.8,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,6.0,3.0,7.0
5041,181.5,6.844628099173553,2011-12,,2.0,6.67,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.2,7.0,6.6,6.4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,6.0,4.0,4.0,3.0
5041,180.0,6.814166666666666,2011-12,,8.0,7.7,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,6.0,6.7,6.4,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,6.0
5041,234.0,8.131410256410257,2011-12,7.2,8.9,8.67,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.0,6.0,7.1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,198.0,6.808333333333333,2011-12,1.0,1.25,5.71,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.6,7.0,5.4,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,4.0,2.0,6.0,4.0,4.0,2.0
5041,156.0,7.063461538461539,2011-12,6.6,8.35,8.53,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),,7.5,,7.6,,1.0,,1.0,,3.0,,1.0,,3.0,,1.0,,9.0,,1.0
5041,183.0,6.640163934426229,2011-12,6.8,6.0,6.18,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,6.1,5.6,5.1,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,5.0,5.0,3.0,3.0
5041,174.0,6.646551724137931,2011-12,4.8,6.0,6.08,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.1,5.3,6.6,7.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,10.0,2.0,1.0
5041,195.0,6.955384615384615,2012-13,,9.5,7.76,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.5,6.0,6.8,7.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
